Front	Back	Tags
What are intangible assets?	Identifiable non-monetary assets without physical substance. Examples include patents, trademarks, copyrights, and brand names.	FSA::Module_03::Definition
How are intangible assets with a finite useful life accounted for?	They are amortized on a systematic basis over their useful life. They must also be tested for impairment if there are indications that their carrying amount may not be recoverable.	FSA::Module_03::Concept
How are intangible assets with an indefinite useful life accounted for?	They are not amortized. Instead, they are tested for impairment at least annually.	FSA::Module_03::Concept
How is goodwill created and accounted for?	Goodwill is created in a business acquisition and is the excess of the purchase price over the fair value of the identifiable net assets acquired. It is not amortized but is tested for impairment at least annually.	FSA::Module_03::Definition
Under IFRS, how are research and development costs for internally generated intangibles treated?	<b>Research costs:</b> Must be expensed as incurred.<br><b>Development costs:</b> Can be capitalized if certain criteria are met (e.g., technological feasibility, intent to complete and use/sell the asset).	FSA::Module_03::Comparison
How does US GAAP generally treat research and development costs?	US GAAP generally requires both research and development costs to be expensed as incurred. A key exception is for software development costs, which can be capitalized after technological feasibility has been established.	FSA::Module_03::Comparison
What are the three main classifications for financial assets (investments in debt and equity)?	1. <b>Measured at Amortized Cost</b> (e.g., Held-to-maturity debt)<br>2. <b>Measured at Fair Value through Other Comprehensive Income (FVOCI)</b> (e.g., Available-for-sale debt)<br>3. <b>Measured at Fair Value through Profit or Loss (FVPL)</b> (e.g., Trading securities)	FSA::Module_03::Concept
How are unrealized gains and losses on "trading" securities (FVPL) reported?	Unrealized gains and losses are reported on the <b>income statement</b> and therefore flow into retained earnings.	FSA::Module_03::Concept
How are unrealized gains and losses on "available-for-sale" debt securities (FVOCI) reported?	Unrealized gains and losses are reported in <b>Other Comprehensive Income (OCI)</b>, bypassing the income statement. They accumulate in a separate component of equity called Accumulated Other Comprehensive Income (AOCI).	FSA::Module_03::Concept
What is a vertical common-size balance sheet?	A vertical common-size balance sheet expresses each line item as a percentage of <b>total assets</b>. This is useful for comparing the composition of balance sheets across companies or over time.	FSA::Module_03::Definition
What do liquidity ratios measure?	A company's ability to meet its <b>short-term</b> financial commitments.	FSA::Module_03::Definition
What do solvency ratios measure?	A company's ability to meet its <b>long-term</b> financial obligations and its overall financial structure.	FSA::Module_03::Definition
What is the formula for the Current Ratio?	A key liquidity ratio.<br>\[\text{Current Ratio} = \frac{\text{Current Assets}}{\text{Current Liabilities}}\]	FSA::Module_03::Formula
What is the formula for the Quick Ratio (or Acid-Test Ratio)?	A more conservative liquidity ratio than the current ratio.<br>\[\text{Quick Ratio} = \frac{\text{Cash} + \text{Marketable Securities} + \text{Accounts Receivable}}{\text{Current Liabilities}}\]<br>It excludes less liquid assets like inventory.	FSA::Module_03::Formula
What is the formula for the Debt-to-Equity Ratio?	A key solvency ratio.<br>\[\text{Debt-to-Equity Ratio} = \frac{\text{Total Debt}}{\text{Total Equity}}\]	FSA::Module_03::Formula
What is the formula for the Financial Leverage Ratio?	A key solvency ratio that measures the amount of assets supported by equity.<br>\[\text{Financial Leverage} = \frac{\text{Average Total Assets}}{\text{Average Total Equity}}\]	FSA::Module_03::Formula
