Front	Back	Tags
What are the three major categories of activities on the Statement of Cash Flows?	1. <b>Cash Flow from Operating Activities (CFO):</b> Cash flows related to the principal revenue-producing activities of the company.<br>2. <b>Cash Flow from Investing Activities (CFI):</b> Cash flows related to the acquisition and disposal of long-term assets and other investments.<br>3. <b>Cash Flow from Financing Activities (CFF):</b> Cash flows related to obtaining or repaying capital from owners (equity) and creditors (debt).	FSA::Module_04::Concept
Compare the Direct and Indirect methods for presenting Cash Flow from Operating Activities (CFO).	The <b>Direct Method</b> shows the major classes of gross cash receipts and gross cash payments (e.g., cash received from customers, cash paid to suppliers).<br><br>The <b>Indirect Method</b> starts with net income and reconciles it to net cash flow from operating activities by adjusting for non-cash items and changes in working capital accounts. Both methods result in the same net CFO amount.	FSA::Module_04::Comparison
How are changes in current operating assets (like Accounts Receivable and Inventory) treated when reconciling Net Income to CFO using the indirect method?	An <b>increase</b> in an operating asset is <b>subtracted</b> from net income.<br>A <b>decrease</b> in an operating asset is <b>added</b> to net income.	FSA::Module_04::Concept
How are changes in current operating liabilities (like Accounts Payable and Accrued Expenses) treated when reconciling Net Income to CFO using the indirect method?	An <b>increase</b> in an operating liability is <b>added</b> to net income.<br>A <b>decrease</b> in an operating liability is <b>subtracted</b> from net income.	FSA::Module_04::Concept
How is Depreciation and Amortization treated when reconciling Net Income to CFO using the indirect method?	Depreciation and Amortization are <b>non-cash expenses</b>, so they are <b>added back</b> to net income.	FSA::Module_04::Concept
How is a Gain on Sale of an Asset treated when reconciling Net Income to CFO using the indirect method?	A gain on sale is a <b>non-operating income item</b>. The gain is <b>subtracted</b> from net income to remove it from the operating section. The full cash proceeds from the sale are reported under Cash Flow from Investing (CFI).	FSA::Module_04::Concept
How do you calculate "Cash Received from Customers" for the direct method CFO?	\[\text{Cash Received from Customers} = \text{Revenue} - \Delta\text{Accounts Receivable}\]<br><br><i>Note: A decrease in A/R is added, an increase is subtracted.</i>	FSA::Module_04::Formula
How do you calculate "Cash Paid to Suppliers" for the direct method CFO?	First calculate Purchases: \[\text{Purchases} = \text{Cost of Goods Sold} + \Delta\text{Inventory}\]<br>Then calculate cash paid: \[\text{Cash Paid to Suppliers} = \text{Purchases} - \Delta\text{Accounts Payable}\]	FSA::Module_04::Formula
How do you calculate Cash Dividends Paid using the financial statements?	\[\text{Dividends Paid} = \text{Beginning Retained Earnings} + \text{Net Income} - \text{Ending Retained Earnings}\]	FSA::Module_04::Formula
How do US GAAP and IFRS differ in the classification of Interest Received?	<b>US GAAP:</b> Must be classified as <b>Cash Flow from Operating (CFO)</b>.<br><b>IFRS:</b> Can be classified as either <b>CFO</b> or <b>Cash Flow from Investing (CFI)</b>.	FSA::Module_04::Comparison
How do US GAAP and IFRS differ in the classification of Interest Paid?	<b>US GAAP:</b> Must be classified as <b>Cash Flow from Operating (CFO)</b>.<br><b>IFRS:</b> Can be classified as either <b>CFO</b> or <b>Cash Flow from Financing (CFF)</b>.	FSA::Module_04::Comparison
How do US GAAP and IFRS differ in the classification of Dividends Received?	<b>US GAAP:</b> Must be classified as <b>Cash Flow from Operating (CFO)</b>.<br><b>IFRS:</b> Can be classified as either <b>CFO</b> or <b>Cash Flow from Investing (CFI)</b>.	FSA::Module_04::Comparison
How do US GAAP and IFRS differ in the classification of Dividends Paid?	<b>US GAAP:</b> Must be classified as <b>Cash Flow from Financing (CFF)</b>.<br><b>IFRS:</b> Can be classified as either <b>CFO</b> or <b>CFF</b>.	FSA::Module_04::Comparison
What is the cash flow impact of purchasing equipment for $50,000 by paying $10,000 in cash and financing the rest with a note?	The transaction would be reported as a <b>$10,000 cash outflow</b> from Investing Activities (CFI). The $40,000 financed through a note is a non-cash transaction and would be disclosed in the footnotes.	FSA::Module_04::Concept
What is the general linkage between the Balance Sheet and the Statement of Cash Flows?	The Statement of Cash Flows reconciles the <b>beginning cash balance</b> from the prior period's balance sheet to the <b>ending cash balance</b> on the current period's balance sheet.	FSA::Module_04::Concept
What is the general linkage between the Income Statement and the Statement of Cash Flows?	Net Income from the Income Statement is the starting point for the <b>indirect method</b> of calculating Cash Flow from Operating Activities. Additionally, non-cash expenses like depreciation from the IS are used in the reconciliation.	FSA::Module_04::Concept
