Front	Back	Tags
What is the difference between "Financial Reporting Quality" and "Quality of Reported Results (Earnings Quality)"?	<b>Financial Reporting Quality</b> pertains to the quality of the information disclosed. High-quality reporting is relevant, complete, neutral, and free from error, faithfully representing economic reality.<br><br><b>Earnings Quality</b> pertains to the earnings and cash generated by a company's actual economic activities and their sustainability. High-quality earnings are sustainable and provide an adequate return.	FSA::Module_10::Comparison
What does it mean for accounting choices to be "aggressive"?	Aggressive choices aim to enhance the company's reported performance and financial position in the current period. This can involve inflating revenues or earnings, or decreasing expenses and liabilities.	FSA::Module_10::Definition
What does it mean for accounting choices to be "conservative"?	Conservative choices decrease the company's reported performance and financial position in the current period. This can involve deferring revenue, accelerating expense recognition, or increasing reported liabilities. This may boost future reported performance.	FSA::Module_10::Definition
What is "earnings management"?	Earnings management refers to the deliberate actions taken by management to influence reported earnings and their interpretation. This can involve "real actions" (e.g., delaying R&D) or "accounting choices" (e.g., changing estimates).	FSA::Module_10::Definition
What are the three conditions that typically exist when low-quality financial reports are issued (the "fraud triangle")?	1. <b>Motivation (or Pressure):</b> Management is under pressure to meet certain performance targets (e.g., for bonuses, to avoid debt covenant violations, to support stock price).<br>2. <b>Opportunity:</b> Internal controls are weak, the board of directors is ineffective, or accounting standards allow for wide latitude.<br>3. <b>Rationalization:</b> Management is able to justify the low-quality reporting to themselves.	FSA::Module_10::Concept
What are some key mechanisms that discipline financial reporting quality?	- Market regulatory authorities (e.g., SEC, ESMA)<br>- Independent auditors<br>- Private contracts (e.g., debt covenants)<br>- Open capital markets (competition for capital)	FSA::Module_10::Concept
What are "non-GAAP" or "non-IFRS" financial measures (e.g., "Adjusted EBITDA")?	They are financial metrics that are not defined by or in compliance with accounting standards. Companies create them by adjusting standard measures to, for example, exclude certain items. They can be useful but can also be used to present a misleadingly favorable view of performance.	FSA::Module_10::Definition
What is a key warning sign related to revenue recognition?	Revenue growing at a significantly faster rate than that of competitors or the industry, or revenue growth that is not accompanied by a corresponding growth in cash flow. A high or rapidly increasing Days Sales Outstanding (DSO) is a red flag.	FSA::Module_10::Concept
What is a key warning sign related to inventories?	Inventory growing at a significantly faster rate than sales. This could indicate obsolescence problems or that the company is overstating its inventory to boost profits. A low or declining inventory turnover ratio is a red flag.	FSA::Module_10::Concept
What is the relationship between cash flow and net income that can be a warning sign?	Net income that is consistently higher than cash flow from operations (CFO). This can indicate that the company is using aggressive accrual accounting policies to recognize revenue too soon or to defer expenses.	FSA::Module_10::Concept
What is "channel stuffing"?	An aggressive revenue recognition practice where a company ships more product to its distributors than they are normally capable of selling. This inflates revenue in the current period but will likely lead to higher sales returns in future periods.	FSA::Module_10::Definition
What is a "bill-and-hold" transaction?	A transaction where a customer purchases goods, but requests that the seller hold them until a later date. This can be abused to recognize revenue prematurely before the customer has actually taken possession or assumed the risks and rewards of ownership.	FSA::Module_10::Definition
What is a "big bath" restructuring charge?	An aggressive accounting choice where a company overstates its restructuring charges in a period of already poor performance. This allows the company to "clean up" its balance sheet and makes future performance appear better.	FSA::Module_10::Definition
What are "cookie jar reserves"?	A conservative accounting choice where a company overstates its expenses and liabilities (e.g., allowance for bad debts) in good times. These "reserves" can then be released into earnings in bad times to smooth income.	FSA::Module_10::Definition
