Front	Back	Tags
<center><b>--- The Financial Analysis Process ---</b></center>	<i>This section covers the framework and objectives of financial analysis.</i>	FSA::Module_11::Header
What are the key questions an analyst should clarify before beginning any financial analysis?	- What is the <b>purpose</b> of the analysis?<br>- What <b>level of detail</b> is needed?<br>- What <b>data are available</b>?<br>- What are the key factors and relationships?<br>- What are the analytical limitations?	FSA::Module_11::Concept
What is the difference between "computation" and "analysis" in financial statement analysis?	<b>Computation</b> is the act of calculating ratios and creating tables.<br><br><b>Analysis</b> is the interpretation of that data. It goes beyond "what" happened to explain "why" it happened, whether it created value, and what it implies for the future.	FSA::Module_11::Concept
What are the key contexts for evaluating a company's financial ratios?	1. <b>Prior Period Results:</b> Trend analysis to see if performance is improving or deteriorating.<br>2. <b>Expectations:</b> Comparing results to analyst or company forecasts.<br>3. <b>Industry Peers & Competitors:</b> Cross-sectional analysis to benchmark performance.<br>4. <b>Company Goals & Strategy:</b> Assessing if objectives are being met.<br>5. <b>Economic Conditions:</b> Understanding the macroeconomic environment.	FSA::Module_11::Concept
What are the limitations of financial ratio analysis?	- <b>Heterogeneity</b> of a company's operating divisions can make industry comparisons difficult.<br>- The need to determine if ratio results are <b>consistent</b> across different categories.<br>- The need for <b>judgment</b>, as ratios are indicators, not definitive answers.<br>- The use of <b>alternative accounting methods</b> can distort comparability.	FSA::Module_11::Concept
<center><b>--- Activity Ratios (Efficiency) ---</b></center>	<i>Activity ratios measure how efficiently a company manages its assets and operations.</i>	FSA::Module_11::Header
**What is the formula for Inventory Turnover?**	Measures how many times a company sells its average inventory over a period.<br><br>\[\text{Inventory Turnover} = \frac{\text{Cost of Goods Sold}}{\text{Average Inventory}}\]	FSA::Module_11::Formula
How is a high Inventory Turnover ratio interpreted?	A high turnover can indicate <b>high efficiency</b>. However, it could also indicate <b>inadequate inventory levels</b>, which might lead to lost sales (stock-outs).	FSA::Module_11::Concept
How is a low Inventory Turnover ratio interpreted?	A low turnover can indicate <b>inefficiency</b> or <b>obsolete inventory</b>. This suggests the company is holding onto inventory for too long, incurring high carrying costs.	FSA::Module_11::Concept
**What is the formula for Days of Inventory on Hand (DOH)?**	Measures the average number of days inventory is held before it is sold.<br><br>\[\text{Days of Inventory on Hand (DOH)} = \frac{365}{\text{Inventory Turnover}}\]	FSA::Module_11::Formula
**What is the formula for Receivables Turnover?**	Measures a company's efficiency in collecting its accounts receivable.<br><br>\[\text{Receivables Turnover} = \frac{\text{Revenue}}{\text{Average Accounts Receivable}}\]	FSA::Module_11::Formula
**What is the formula for Days of Sales Outstanding (DSO)?**	Measures the average number of days it takes for a company to collect payment after a sale.<br><br>\[\text{Days of Sales Outstanding (DSO)} = \frac{365}{\text{Receivables Turnover}}\]	FSA::Module_11::Formula
How is a high DSO interpreted?	A high DSO (or low receivables turnover) suggests inefficiency in collecting cash from customers. It may indicate that the company has loose credit policies or is having trouble with collections.	FSA::Module_11::Concept
What is the formula for Payables Turnover?	Measures how many times per period a company theoretically pays off its suppliers.<br><br>\[\text{Payables Turnover} = \frac{\text{Purchases}}{\text{Average Accounts Payable}}\]<br><i>Note: COGS is often used as a substitute for Purchases.</i>	FSA::Module_11::Formula
