Front	Back	Tags
<center><b>--- Activity Ratios (Efficiency) ---</b></center>	<i>Activity ratios measure how efficiently a company performs day-to-day tasks, such as managing inventory and collecting receivables.</i>	FSA::Module_11::Header
**What is the formula for Inventory Turnover?**	Measures how many times a company sells its average inventory over a period.<br><br>\[\text{Inventory Turnover} = \frac{\text{Cost of Goods Sold}}{\text{Average Inventory}}\]	FSA::Module_11::Formula
**What is the formula for Days of Inventory on Hand (DOH)?**	Measures the average number of days inventory is held before it is sold.<br><br>\[\text{Days of Inventory on Hand (DOH)} = \frac{365}{\text{Inventory Turnover}}\]	FSA::Module_11::Formula
**What is the formula for Receivables Turnover?**	Measures a company's efficiency in collecting its accounts receivable.<br><br>\[\text{Receivables Turnover} = \frac{\text{Revenue}}{\text{Average Accounts Receivable}}\]	FSA::Module_11::Formula
**What is the formula for Days of Sales Outstanding (DSO)?**	Measures the average number of days it takes for a company to collect payment after a sale.<br><br>\[\text{Days of Sales Outstanding (DSO)} = \frac{365}{\text{Receivables Turnover}}\]	FSA::Module_11::Formula
What is the formula for Payables Turnover?	Measures how many times per period a company theoretically pays off its accounts payable.<br><br>\[\text{Payables Turnover} = \frac{\text{Purchases}}{\text{Average Accounts Payable}}\]<br><i>Note: COGS is often used as a substitute for Purchases.</i>	FSA::Module_11::Formula
What is the formula for Number of Days of Payables?	Measures the average number of days a company takes to pay its suppliers.<br><br>\[\text{Number of Days of Payables} = \frac{365}{\text{Payables Turnover}}\]	FSA::Module_11::Formula
What is the formula for Working Capital Turnover?	Measures how efficiently a company uses its working capital to generate revenue.<br><br>\[\text{Working Capital Turnover} = \frac{\text{Revenue}}{\text{Average Working Capital}}\]	FSA::Module_11::Formula
What is the formula for Fixed Asset Turnover?	Measures how efficiently a company generates revenue from its investment in fixed assets.<br><br>\[\text{Fixed Asset Turnover} = \frac{\text{Revenue}}{\text{Average Net Fixed Assets}}\]	FSA::Module_11::Formula
**What is the formula for Total Asset Turnover?**	Measures the company's overall efficiency in using its total assets to generate revenue. It is a key component of the DuPont analysis.<br><br>\[\text{Total Asset Turnover} = \frac{\text{Revenue}}{\text{Average Total Assets}}\]	FSA::Module_11::Formula
<center><b>--- Liquidity Ratios ---</b></center>	<i>Liquidity ratios measure a company's ability to meet its short-term obligations.</i>	FSA::Module_11::Header
**What is the formula for the Current Ratio?**	Measures a company's ability to meet its short-term obligations using its current assets.<br><br>\[\text{Current Ratio} = \frac{\text{Current Assets}}{\text{Current Liabilities}}\]	FSA::Module_11::Formula
**What is the formula for the Quick Ratio (Acid-Test Ratio)?**	A more stringent liquidity measure that excludes less-liquid assets like inventory.<br><br>\[\text{Quick Ratio} = \frac{\text{Cash} + \text{Marketable Securities} + \text{Accounts Receivable}}{\text{Current Liabilities}}\]	FSA::Module_11::Formula
What is the formula for the Cash Ratio?	The most conservative liquidity measure, indicating the extent to which a company can pay its current liabilities with only cash and cash equivalents.<br><br>\[\text{Cash Ratio} = \frac{\text{Cash} + \text{Marketable Securities}}{\text{Current Liabilities}}\]	FSA::Module_11::Formula
What is the formula for the Defensive Interval Ratio?	Measures how long a company can pay its daily cash expenditures using only its existing liquid assets without any additional cash inflow.<br><br>\[\text{Defensive Interval Ratio} = \frac{\text{Cash} + \text{Marketable Securities} + \text{Receivables}}{\text{Daily Cash Expenditures}}\]	FSA::Module_11::Formula
**What is the formula for the Cash Conversion Cycle (Net Operating Cycle)?**	Measures the length of time in days it takes to convert invested cash into collected cash.<br><br>\[\text{Cash Conversion Cycle} = \text{DOH} + \text{DSO} - \text{Number of Days of Payables}\]	FSA::Module_11::Formula
<center><b>--- Solvency Ratios ---</b></center>	<i>Solvency ratios measure a company's ability to meet its long-term obligations.</i>	FSA::Module_11::Header
**What is the formula for the Debt-to-Equity Ratio?**	Measures the amount of debt capital relative to equity capital, indicating financial risk and solvency.<br><br>\[\text{Debt-to-Equity Ratio} = \frac{\text{Total Debt}}{\text{Total Equity}}\]	FSA::Module_11::Formula
What is the formula for the Debt-to-Assets Ratio?	Measures the percentage of a company's total assets that are financed with debt.<br><br>\[\text{Debt-to-Assets Ratio} = \frac{\text{Total Debt}}{\text{Total Assets}}\]	FSA::Module_11::Formula
What is the formula for the Debt-to-Capital Ratio?	Measures the proportion of a company's capital (debt plus equity) that is represented by debt.<br><br>\[\text{Debt-to-Capital Ratio} = \frac{\text{Total Debt}}{\text{Total Debt} + \text{Total Equity}}\]	FSA::Module_11::Formula
**What is the formula for the Financial Leverage Ratio?**	Measures the amount of total assets supported for each unit of equity. A higher ratio indicates greater use of leverage.<br><br>\[\text{Financial Leverage} = \frac{\text{Average Total Assets}}{\text{Average Total Equity}}\]	FSA::Module_11::Formula
**What is the formula for the Interest Coverage Ratio (Times Interest Earned)?**	Measures the number of times a company's EBIT can cover its interest payments. A higher ratio indicates stronger solvency.<br><br>\[\text{Interest Coverage} = \frac{\text{EBIT}}{\text{Interest Payments}}\]	FSA::Module_11::Formula
What is the formula for the Fixed Charge Coverage Ratio?	Measures a company's ability to cover its fixed charges, such as interest and lease payments.<br><br>\[\text{Fixed Charge Coverage} = \frac{\text{EBIT} + \text{Lease Payments}}{\text{Interest Payments} + \text{Lease Payments}}\]	FSA::Module_11::Formula
<center><b>--- Profitability Ratios ---</b></center>	<i>Profitability ratios measure a company's ability to generate profits from its revenue and assets.</i>	FSA::Module_11::Header
**What is the formula for Gross Profit Margin?**	Measures the percentage of revenue remaining after accounting for the cost of goods sold.<br><br>\[\text{Gross Profit Margin} = \frac{\text{Gross Profit}}{\text{Revenue}}\]	FSA::Module_11::Formula
What is the formula for Operating Profit Margin?	Measures the percentage of revenue remaining after accounting for COGS and all operating expenses.<br><br>\[\text{Operating Profit Margin} = \frac{\text{Operating Income}}{\text{Revenue}}\]	FSA::Module_11::Formula
What is the formula for Pretax Margin?	Measures the percentage of revenue remaining before the deduction of income taxes.<br><br>\[\text{Pretax Margin} = \frac{\text{EBT (Earnings Before Tax)}}{\text{Revenue}}\]	FSA::Module_11::Formula
**What is the formula for Net Profit Margin?**	Measures the final percentage of revenue that is left after all expenses have been deducted.<br><br>\[\text{Net Profit Margin} = \frac{\text{Net Income}}{\text{Revenue}}\]	FSA::Module_11::Formula
What is a common formula for Return on Assets (ROA)?	Measures the return earned by a company on its total assets.<br><br>\[\text{ROA} = \frac{\text{Net Income}}{\text{Average Total Assets}}\]	FSA::Module_11::Formula
What is an adjusted formula for Return on Assets (ROA) to account for interest expense?	This version adds back the after-tax cost of debt to the numerator to reflect that assets are financed by both debt and equity.<br><br>\[\text{Adjusted ROA} = \frac{\text{Net Income} + \text{Interest Expense}(1 - \text{Tax rate})}{\text{Average Total Assets}}\]	FSA::Module_11::Formula
**What is the formula for Return on Equity (ROE)?**	Measures the rate of return earned by a company on its shareholders' equity.<br><br>\[\text{ROE} = \frac{\text{Net Income}}{\text{Average Shareholders' Equity}}\]	FSA::Module_11::Formula
What is the formula for Return on Common Equity (ROCE)?	Measures the rate of return earned on only the common equity, making it more specific than ROE when preferred stock exists.<br><br>\[\text{ROCE} = \frac{\text{Net Income} - \text{Preferred Dividends}}{\text{Average Common Equity}}\]	FSA::Module_11::Formula
<center><b>--- Integrated and Valuation Formulas ---</b></center>	<i>These formulas integrate concepts across statements and are fundamental for valuation.</i>	FSA::Module_11::Header
**What is the 3-Part DuPont Decomposition of ROE?**	Breaks down ROE into three core performance pillars: Profitability, Efficiency, and Leverage.<br><br>\[\text{ROE} = (\text{Net Profit Margin}) \times (\text{Asset Turnover}) \times (\text{Financial Leverage})\]<br>\[\text{ROE} = \left( \frac{\text{Net Income}}{\text{Revenue}} \right) \times \left( \frac{\text{Revenue}}{\text{Avg Assets}} \right) \times \left( \frac{\text{Avg Assets}}{\text{Avg Equity}} \right)\]	FSA::Module_11::Formula
**What is the 5-Part DuPont Decomposition of ROE?**	Provides a more detailed breakdown by further decomposing the net profit margin to isolate the effects of taxes and interest.<br><br>\[\text{ROE} = (\text{Tax Burden}) \times (\text{Interest Burden}) \times (\text{EBIT Margin}) \times (\text{Asset Turnover}) \times (\text{Leverage})\]<br>\[\text{ROE} = \left( \frac{\text{Net Income}}{\text{EBT}} \right) \times \left( \frac{\text{EBT}}{\text{EBIT}} \right) \times \left( \frac{\text{EBIT}}{\text{Revenue}} \right) \times \left( \frac{\text{Revenue}}{\text{Avg Assets}} \right) \times \left( \frac{\text{Avg Assets}}{\text{Avg Equity}} \right)\]	FSA::Module_11::Formula
**What is the formula for Free Cash Flow to the Firm (FCFF) starting from Net Income?**	Measures cash flow available to all capital providers. It is a key input for valuation.<br><br>\[\text{FCFF} = \text{NI} + \text{NCC} + \text{Int}(1 - \text{Tax rate}) - \text{FCInv} - \text{WCInv}\] <br>NI = Net Income; NCC = Non-Cash Charges; Int = Interest Expense; FCInv = Fixed Capital Investment; WCInv = Working Capital Investment.	FSA::Module_05::Formula
**What is the formula for Free Cash Flow to Equity (FCFE) starting from CFO?**	Measures cash flow available to equity holders after all other obligations and investments are paid.<br><br>\[\text{FCFE} = \text{CFO} - \text{Fixed Capital Investment (FCInv)} + \text{Net borrowing}\]	FSA::Module_05::Formula
What is the formula for the Effective Tax Rate?	Measures a company's income tax expense as a percentage of its pre-tax income from the income statement.<br><br>\[\text{Effective Tax Rate} = \frac{\text{Income Tax Expense}}{\text{Pre-tax Income (EBT)}}\]	FSA::Module_09::Formula
