Front	Back	Tags
What are the three primary dimensions used to categorize fixed-income instruments and markets?	1. <b>Issuer type</b> (sector)<br>2. <b>Credit quality</b><br>3. <b>Time to maturity</b>	Fixed_Income::Module_03::Concept
What is a <b>credit rating</b>?	A letter-grade, qualitative measure of an issuer's ability to meet its debt obligations. Credit ratings are assigned by <b>credit rating agencies</b> for both issuers and specific bond issues.	Fixed_Income::Module_03::Definition
What is the general dividing line between <b>investment grade</b> and <b>high-yield</b> (speculative grade) bonds?	Bonds rated <b>BBB-</b> (by S&P/Fitch) or <b>Baa3</b> (by Moody's) or higher are considered <b>investment grade</b>.<br><br>Bonds rated <b>BB+</b> (S&P/Fitch) or <b>Ba1</b> (Moody's) or lower are considered <b>high-yield</b> (or speculative grade/junk).	Fixed_Income::Module_03::Concept
What are "fallen angels"?	Issuers that were formerly rated as investment grade but whose credit quality has deteriorated, causing them to be downgraded to high-yield status.	Fixed_Income::Module_03::Definition
What is a key difference between equity indexes and fixed-income indexes regarding the number of constituents?	Fixed-income indexes typically have far more constituent securities than equity indexes because a single issuer may have many different bonds outstanding at any given time.	Fixed_Income::Module_03::Comparison
Why do bond indexes exhibit higher turnover than equity indexes?	Bond indexes have higher turnover due to two main factors:<br>1. <b>Finite maturity:</b> Bonds mature and must be removed from the index.<br>2. <b>Higher frequency of new issuance:</b> Companies and governments issue new debt more frequently than new equity.	Fixed_Income::Module_03::Concept
How are constituents in a bond index typically weighted?	Bond index constituents are usually weighted by the <b>market value of their debt outstanding</b>, which is analogous to the market-capitalization weighting used in equity indexes.	Fixed_Income::Module_03::Concept
Describe the Bloomberg Barclays Global Aggregate Index.	It is a broad, aggregate index that includes fixed-coupon, investment-grade capital market securities from a wide range of issuer types (sovereign, corporate, securitized) across 28 developed and emerging markets. It excludes high-yield and unrated debt.	Fixed_Income::Module_03::Definition
What is the difference between the primary and secondary fixed-income markets?	The <b>primary market</b> is where an issuer sells a new bond to investors to raise capital.<br><br>The <b>secondary market</b> is where existing bonds are traded among investors.	Fixed_Income::Module_03::Comparison
What is a "debut issuer"?	An issuer approaching the bond market for the first time. The process is often longer and more involved than for repeat issuers.	Fixed_Income::Module_03::Definition
Compare a <b>public offering</b> and a <b>private placement</b> for bond issuance.	A <b>public offering</b> is a sale where any member of the public may buy the bonds.<br><br>A <b>private placement</b> is a sale where only a selected investor or a small group of investors may buy the bonds.	Fixed_Income::Module_03::Comparison
What is an <b>underwritten offering</b> for a bond?	An offering where one or more financial intermediaries (underwriters) guarantee the sale of the bond issue at an offering price that is negotiated with the issuer. This is common for investment-grade issuers.	Fixed_Income::Module_03::Definition
What is a <b>best-efforts offering</b> for a bond?	An offering where a financial intermediary acts only as a broker, trying to sell the bond issue at the negotiated price on a commission basis without guaranteeing the sale. This is more common for bonds of lower credit quality.	Fixed_Income::Module_03::Definition
What is a <b>shelf registration</b>?	A filing that allows frequent bond issuers to create a broad, all-encompassing offering circular that can be updated regularly and used for a range of future bond issuances, allowing them to issue bonds opportunistically when market conditions are favorable.	Fixed_Income::Module_03::Definition
How are sovereign bonds typically issued in the primary market?	Primary market issuance of sovereign debt usually takes the form of a <b>public auction</b> led by the national treasury or finance ministry.	Fixed_Income::Module_03::Concept
What is the nature of the secondary market for fixed-income securities?	Fixed-income markets are mostly <b>quote-driven</b> or <b>over-the-counter (OTC)</b> markets. Major participants include institutional investors, financial intermediaries (dealers), and central banks.	Fixed_Income::Module_03::Concept
What is the <b>bid-offer spread</b> (or bid-ask spread) in the bond market?	The difference in price at which a dealer will buy (bid) from a customer and sell (offer) to a customer. It is a key measure of a bond's liquidity.	Fixed_Income::Module_03::Definition
What are <b>on-the-run</b> securities?	<b>On-the-run</b> securities are the most recently issued sovereign bonds for a particular maturity. They are typically the most liquid securities in their respective markets and have the tightest bid-offer spreads.	Fixed_Income::Module_03::Definition
What is <b>distressed debt</b>?	Bonds of issuers believed to be very close to or in bankruptcy. Distressed debt typically trades in the secondary market at a price well below par.	Fixed_Income::Module_03::Definition
